annotator_name,post_id,display_num,label,reason,time_spent_sec,timestamp,attribution_source,unsafe_categories
adash,at://did:plc:ifj7mufkcmbrhkgm4m4btpyx/app.bsky.feed.post/3m4sqc7j6xc2e,1,Safe,NA,75.6,2026-05-06T08:15:06.603Z,Text,
adash,at://did:plc:y3zu45ru7qsadjmgkh3qv5tj/app.bsky.feed.post/3m7v4navuwk2n,2,Unsafe,"The image shows a men genital but does not seem to be in a `sexual context'. Hence it does not qualify for sexual or porn. But, it definitely fits the nudity definition.",135.9,2026-05-06T08:17:22.590Z,Image,S5
adash,at://did:plc:uh4errluyq5thgszrwwrtpuq/app.bsky.feed.post/3llrk5kb5hk24,3,Safe,This is a post from the European Parliament declaring loans to different countries. The image is that of the European Parliament.,310.4,2026-05-06T08:22:33.165Z,Text|Image,
adash,at://did:plc:3uogztpu7svvebkixxsxo4or/app.bsky.feed.post/3lf2ekctaak2u,4,Safe,Post is about scientific discovery and the image is also a picture captured in the context of space research.,67.6,2026-05-06T08:23:40.533Z,Text|Image,
adash,at://did:plc:fpx4r2heurbpzpirjez5a3y2/app.bsky.feed.post/3m5ymk2kdsk26,5,Unsafe,A lot of blood and potentially a dead body of a child.,116.3,2026-05-06T08:25:38.427Z,Image,S7
adash,at://did:plc:rhjz4rcff7gznwztfph3gv2k/app.bsky.feed.post/3m22apprs3k22,6,Safe,This is a post about book recommendation.,158,2026-05-06T08:28:14.949Z,Text,
adash,at://did:plc:vrsppvjc5fysqnm2zshiirey/app.bsky.feed.post/3mivsafzbjl22,7,Safe,Both the text and image are about a research paper in Nature.,43.1,2026-05-06T08:28:57.077Z,Text|Image,
adash,at://did:plc:univ47kzorwxjih3lqzrnwmv/app.bsky.feed.post/3lmh5oic2722g,8,Safe,This post is an awareness post on Meningitis and the video is a slideshow from WHO.,128.2,2026-05-06T08:31:06.149Z,Text|Video,
adash,at://did:plc:rwg73qafh4vvmhfoakdluwll/app.bsky.feed.post/3lx2ayyueek2u,9,Safe,General recommendations. Nothing unsafe in the text.,57.8,2026-05-06T08:32:05.934Z,Text,
adash,at://did:plc:mgwrki6irihfcatu2v347soc/app.bsky.feed.post/3mfpp42g2uk2x,10,Safe,The post (text and image) is about a healthcare research paper.,101.3,2026-05-06T08:33:46.877Z,Text|Image,
adash,at://did:plc:qnsgjgzolmi4mi4ipbdbifv5/app.bsky.feed.post/3lpke4xbbps2m,11,Safe,"This seems like a comment to some other post. Without the context, it is difficult to label unsafe. But, based on its content on its own, I think it is safe.",200.2,2026-05-06T08:37:07.081Z,Text,
adash,at://did:plc:w5nopjifa4o4zoltlvszqjlm/app.bsky.feed.post/3lh2sx6yozs2x,12,Safe,Both text and image depict a dinner with wine.,45.7,2026-05-06T08:37:50.797Z,Text|Image,
adash,at://did:plc:3bq4bmrzd3qqefjkaebr4brc/app.bsky.feed.post/3lmwdkw6nyk24,13,Safe,"Me on my way to work, still trying to figure out the plot twist. This is the translation of the text. While the image is confusing, but I read it as somebody sleeping. It seems more like a figure of speech.",181.2,2026-05-06T08:40:52.255Z,Text,
adash,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3lz77smfugs27,14,Safe,A post about sanctions from EU on Russia.,513.2,2026-05-06T08:49:27.531Z,Text|Image,
adash,at://did:plc:vrsppvjc5fysqnm2zshiirey/app.bsky.feed.post/3m2jpiprtxo2t,15,Safe,Text and image are from a Nature research paper.,56.3,2026-05-06T08:50:22.990Z,Text|Image,
adash,at://did:plc:e2gitnhla5hmlgwt2i4it4ih/app.bsky.feed.post/3lmygyr5x6224,16,Safe,"Again seems like a comment, but it is benign in isolation.",115.8,2026-05-06T08:52:19.287Z,Text|Image,
adash,at://did:plc:sj46s4ufqfmqeq34ewaam6n4/app.bsky.feed.post/3l6aldx3p7n24,17,Safe,Post and Image are more about news coming out of united nations.,61.5,2026-05-06T08:53:20.807Z,Text|Image,
adash,at://did:plc:3ohhb4h35vfxbqk5pkyr5rsn/app.bsky.feed.post/3lyxs6l7yhc2l,18,Safe,"Seems like a comment. But, again in isolation it is safe.",48.5,2026-05-06T08:54:07.323Z,Text,
adash,at://did:plc:stfbir57f52eggliq77og6bd/app.bsky.feed.post/3m3ibcza7os2u,19,Safe,It seems to be a screenshot from a news show in the US.,70.6,2026-05-06T08:55:17.900Z,Text|Image,
adash,at://did:plc:jbleco5ctslbkgg3d5hfgx6h/app.bsky.feed.post/3lsarq3ppr22j,20,Safe,It is an image of different animal paws.,77.5,2026-05-06T08:56:33.921Z,Text|Image,
adash,at://did:plc:2oow4uik7eoze4cg5qyrtci5/app.bsky.feed.post/3lo4nul75g22x,21,Unsafe,I would not consider it unsafe but it seems to reach the threshold of nudity. I marked it unsafe because it is partial nudity.,140.3,2026-05-06T08:58:57.031Z,Image,S5
adash,at://did:plc:otormdsn6m5vnsc4vdifcyb3/app.bsky.feed.post/3luaxxibwds2w,22,Safe,"Seems like a comment. But, seems benign.",51.9,2026-05-06T08:59:47.702Z,Text,
adash,at://did:plc:sj46s4ufqfmqeq34ewaam6n4/app.bsky.feed.post/3miyngj624u2m,23,Safe,Tech news and image.,51.9,2026-05-06T09:00:39.595Z,Text|Image,
adash,at://did:plc:sj46s4ufqfmqeq34ewaam6n4/app.bsky.feed.post/3ku4ni6qzjs2x,24,Safe,NA.,47.9,2026-05-06T09:01:29.314Z,Text|Image,
adash,at://did:plc:xavfbr6hrhhdueo5m37jiucs/app.bsky.feed.post/3lvljp3qlqc2o,25,Unsafe,This is very tricky. It's a figure of speech but it feels a bit disproportionate because it is about shooting one self.,211.5,2026-05-06T09:04:59.760Z,Image,S4
adash,at://did:plc:sj46s4ufqfmqeq34ewaam6n4/app.bsky.feed.post/3ku6rsjaqeb2e,26,Safe,Post regarding a podcast.,36.3,2026-05-06T09:05:37.328Z,Text|Image,
adash,at://did:plc:fgfly4md5x77swfi45erxo4r/app.bsky.feed.post/3lnv2ywkls22b,27,Unsafe,Image shows five potentially dead bodies hanging in public.,97.5,2026-05-06T09:07:14.816Z,Image,S7
adash,at://did:plc:n7wjnoprexr2yemndcpa4ocj/app.bsky.feed.post/3m75r5c4gr22p,28,Unsafe,The image shows sexual acts or acts that is intended to elicit sexual arousal (hence meets the criteria for porn too). From the images it also feels non-consensual.,176.2,2026-05-06T09:10:09.148Z,Image,"S2,S1"
adash,at://did:plc:nh5rmwvquanttgqdccilu6k6/app.bsky.feed.post/3lyq2yu6vac2g,29,Unsafe,Contains sexually suggestive act which seems to fit porn threshold too.,1255.7,2026-05-06T09:31:05.173Z,Text|Image,"S2,S1"
Ines,at://did:plc:s6iljwqabn52yxf2zju2pswl/app.bsky.feed.post/3lwdb6fyc622z,38,Safe,about gifts accounts,81.6,2026-05-06T09:31:15.983Z,Text,
Ines,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3lz77smfugs27,39,Safe,eu sanctions on russia,42.8,2026-05-06T09:31:57.266Z,Text|Image,
Ines,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3kqafy7dvef2e,40,Safe,eu  civil protection,64.6,2026-05-06T09:33:03.158Z,Text|Image,
Ines,at://did:plc:e2gitnhla5hmlgwt2i4it4ih/app.bsky.feed.post/3lmygyr5x6224,41,Safe,the post is inuiniating sth but its just a dog smoking,53.6,2026-05-06T09:33:55.254Z,Text|Image,
Ines,at://did:plc:stfbir57f52eggliq77og6bd/app.bsky.feed.post/3m3ibcza7os2u,42,Safe,"screenshot of news channel  ,nothing unsafe",59.3,2026-05-06T09:34:54.349Z,Text|Image,
Ines,at://did:plc:lr36xv2l64jwtnyoaqem6z2z/app.bsky.feed.post/3lneaior5lk2f,43,Safe,confrence about privacy,41.6,2026-05-06T09:35:37.373Z,Text|Image,
Ines,at://did:plc:62gdkmpwa7xme36getyqnem3/app.bsky.feed.post/3jy2dokd6er25,44,Safe,imojis,19.9,2026-05-06T09:35:55.994Z,Text,
Ines,at://did:plc:etzvwwvqx4oyp647vgglegwi/app.bsky.feed.post/3ltlfqrmbs22b,45,Unsafe,although the post us about health the image shows exposed male gentials,66.8,2026-05-06T09:37:02.796Z,Image,S5
Ines,at://did:plc:fgfly4md5x77swfi45erxo4r/app.bsky.feed.post/3lnv2ywkls22b,46,Unsafe,people being hung,39.6,2026-05-06T09:37:42.343Z,Image,S7
Ines,at://did:plc:sid6owxfjlwvhvhyjmopeaan/app.bsky.feed.post/3lqux2vc3yk26,47,Safe,sth about a kind of food,45.1,2026-05-06T09:38:26.421Z,Text,
Ines,at://did:plc:sj46s4ufqfmqeq34ewaam6n4/app.bsky.feed.post/3l6aldx3p7n24,48,Safe,sth about the UN,32,2026-05-06T09:39:00.742Z,Text|Image,
Ines,at://did:plc:j2i5ighv5ofgd7xg7kkiwioc/app.bsky.feed.post/3loheodhbqc2p,49,Safe,game dev channel promotion,24.1,2026-05-06T09:39:21.811Z,Text|Image,
adash,at://did:plc:mlogqmrvvb77prpic3nmouzw/app.bsky.feed.post/3lv4hp6v6nk24,30,Safe,"Without any context, I do not think it crosses unsafe threshold.",495.9,2026-05-06T09:39:22.233Z,Text|Image,
Ines,at://did:plc:elpxhl6pka3lnmsbsdyfdbww/app.bsky.feed.post/3lqrok2ovdc24,50,Safe,anime reference,40.7,2026-05-06T09:40:04.806Z,Text,
Ines,at://did:plc:4i7xwq5tgasaziqv3klq2cn7/app.bsky.feed.post/3lknbp2ulfj2m,51,Safe,"although the images shows part of coarpses i guess , its not that graphic",66.2,2026-05-06T09:41:10.418Z,Text|Image,
Ines,at://did:plc:r6e4wlsm742jro247z7fo3ng/app.bsky.feed.post/3luwg4jfcqk2r,52,Unsafe,pornographic content,60.9,2026-05-06T09:42:13.117Z,Text|Video,S1
adash,at://did:plc:khpdoaskdahy2avoyqea74fl/app.bsky.feed.post/3mavh53y46c22,31,Unsafe,Male genital shows in the video and text as well.,238.5,2026-05-06T09:43:21.085Z,Text|Video|Audio,"S1,S2"
adash,at://did:plc:univ47kzorwxjih3lqzrnwmv/app.bsky.feed.post/3mdfwbgpnxs2x,32,Safe,Polio vaccine awareness.,57.9,2026-05-06T09:44:17.083Z,Text|Image,
Ines,at://did:plc:kodewlmnoj5ikhljjszhsknq/app.bsky.feed.post/3m7ysqmevjs2x,53,Safe,comment about finding sth with no context,133.4,2026-05-06T09:44:24.774Z,Text,
adash,at://did:plc:sevqzyhqcow37fdw4txpxr3y/app.bsky.feed.post/3luk2ibtsds2f,33,Safe,Seems like these are arts.,42.6,2026-05-06T09:45:00.159Z,Image,
Ines,at://did:plc:fpx4r2heurbpzpirjez5a3y2/app.bsky.feed.post/3m5ymk2kdsk26,54,Unsafe,blood and injury,34.8,2026-05-06T09:45:01.230Z,Image,S7
Ines,at://did:plc:qnsgjgzolmi4mi4ipbdbifv5/app.bsky.feed.post/3lpke4xbbps2m,55,Safe,no context,26.8,2026-05-06T09:45:26.274Z,Text,
Ines,at://did:plc:ry62afc72nm5t2vklajr4mkv/app.bsky.feed.post/3lwieinslcs2n,56,Safe,news report from hospital nothing graphic,127.4,2026-05-06T09:47:33.460Z,Text|Video|Audio,
Ines,at://did:plc:3ohhb4h35vfxbqk5pkyr5rsn/app.bsky.feed.post/3lyxs6l7yhc2l,57,Safe,comment about gameshow host,42.4,2026-05-06T09:48:15.960Z,Text,
Ines,at://did:plc:i6m5urtifwvjqv4bfytcwslt/app.bsky.feed.post/3lnqaoq5zjk2n,58,Safe,aircraft tracking,20.2,2026-05-06T09:48:34.323Z,Text,
Ines,at://did:plc:j2xozifhqlxtkqikn2tlcqvk/app.bsky.feed.post/3m3navbbxws2m,59,Unsafe,blody images of self harm,57.9,2026-05-06T09:49:34.131Z,Text|Image,S4
adash,at://did:plc:sid6owxfjlwvhvhyjmopeaan/app.bsky.feed.post/3lqux2vc3yk26,34,Safe,Does not seem harmful to any protected group.,309.1,2026-05-06T09:50:09.015Z,Text,
Ines,at://did:plc:lr36xv2l64jwtnyoaqem6z2z/app.bsky.feed.post/3m5jzksrfes2t,60,Safe,promotion of ant surveilance,84.1,2026-05-06T09:50:56.176Z,Text|Video|Audio,
adash,at://did:plc:w3pa2ejmr4v6m2dmkljcjpct/app.bsky.feed.post/3m373iutu5k2w,35,Unsafe,Sexually explicit and nude images.,106.5,2026-05-06T09:51:55.372Z,Image,"S1,S7,S2,S5"
adash,at://did:plc:ikjmfrechu7jsw5w7ccliuml/app.bsky.feed.post/3lemgemsva22j,36,Unsafe,Cartoons of sexual acts and pornography.,62.3,2026-05-06T09:52:57.643Z,Image,"S1,S2,S3"
adash,at://did:plc:ujstglmdsoymx3t2yffcvgtm/app.bsky.feed.post/3l3ucyfz7sk2i,37,Safe,Seems like a comment but is about ML research on scalability.,130.2,2026-05-06T09:55:08.053Z,Text,
adash,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3mjtesi6x5s25,38,Safe,Post regarding EU digital regulations and their goals.,37.8,2026-05-06T09:55:45.244Z,Text,
adash,at://did:plc:2zxjutk5jsdri4crs35xpnzw/app.bsky.feed.post/3lox6s3gfe224,39,Safe,"I'm envious of the delivery people in that area.-- Based on the Google translation, it does not seem harmful.",53.4,2026-05-06T09:56:39.707Z,Text,
adash,at://did:plc:elpxhl6pka3lnmsbsdyfdbww/app.bsky.feed.post/3lqrok2ovdc24,40,Safe,"Masamune-san, thank you for your hard work. -- Translated using Google translate. Does not seem harmful.",73.8,2026-05-06T09:57:54.439Z,Text,
adash,at://did:plc:fdinne66nqyg6quzalnt724j/app.bsky.feed.post/3lni2z3rx2c2x,41,Unsafe,Image shows male genital but the context does not seem to be sexual to warrant other labels.,51.4,2026-05-06T09:58:46.959Z,Image,S5
adash,at://did:plc:s6iljwqabn52yxf2zju2pswl/app.bsky.feed.post/3lwdb6fyc622z,42,Safe,"Translation : I'd like to lock my Tsuchisai account soon, but I need to do some tallying... -- does not seem harmful.",53.2,2026-05-06T09:59:37.705Z,Text,
adash,at://did:plc:rlyfjshh5pc3jpi2gxaing3m/app.bsky.feed.post/3lnl5pa4r6k2l,43,Unsafe,Cartoon of females with big breast and sexually suggestive as well.,95.5,2026-05-06T10:01:14.925Z,Image,S3
adash,at://did:plc:7rjbv2hjv76ulndqrkiu4l4i/app.bsky.feed.post/3m4v53l2b3k2k,44,Safe,Political opinion,150.6,2026-05-06T10:03:45.564Z,Text|Image,
adash,at://did:plc:etzvwwvqx4oyp647vgglegwi/app.bsky.feed.post/3ltlfqrmbs22b,45,Unsafe,Sexually suggestive image and text but not at porn threshold yet.,117.6,2026-05-06T10:05:41.273Z,Text|Image,S2
adash,at://did:plc:n5hzvm4vr5lku2qa2hldefsg/app.bsky.feed.post/3lz3hy3csuc26,46,Unsafe,One of the images shows male genital.,58.1,2026-05-06T10:06:41.684Z,Image,"S5,S2"
adash,at://did:plc:lr36xv2l64jwtnyoaqem6z2z/app.bsky.feed.post/3lneaior5lk2f,47,Safe,Conference talk promotional post.,48.5,2026-05-06T10:07:26.624Z,Text|Image,
adash,at://did:plc:eu6urrd67yaoywvt6nzcl6ou/app.bsky.feed.post/3kxf6zfkyjj2j,48,Safe,Academic criticism not hateful or anything.,75.4,2026-05-06T10:08:43.453Z,Text,
adash,at://did:plc:mmghldfjsx3lrijjj6x7t7bb/app.bsky.feed.post/3lx2d4npf5k2q,49,Safe,Massimehi people are having a great time with everyone.-- translated using  google translate. Does not seem harmful.,132.6,2026-05-06T10:11:01.378Z,Text,
adash,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3l5oijxewc22e,50,Safe,Safe post and image.,38.5,2026-05-06T10:11:34.089Z,Text|Image,
adash,at://did:plc:hpgqhlefvmw5sx4jz4i54a4u/app.bsky.feed.post/3lpuevkckqk2q,51,Safe,Gratitude post.,25.8,2026-05-06T10:12:00.304Z,Text,
adash,at://did:plc:r6e4wlsm742jro247z7fo3ng/app.bsky.feed.post/3luwg4jfcqk2r,52,Unsafe,Sexually suggestive and provocative and nudity shown in the video.,81.3,2026-05-06T10:13:23.895Z,Text|Video,"S2,S5"
adash,at://did:plc:h7dupmheuhggygi4ehzayklj/app.bsky.feed.post/3m4xw3q5eic24,53,Safe,"Seems like a comment and it mentions ""asian speaking persons"" but it does not seem to be in any derogatory way.",442.3,2026-05-06T10:20:43.925Z,Text,
adash,at://did:plc:t5acm3ggwyihi4ux5al6xumx/app.bsky.feed.post/3lri4cpri322r,54,Safe,NA,109,2026-05-06T10:22:32.746Z,Text|Image,
adash,at://did:plc:62gdkmpwa7xme36getyqnem3/app.bsky.feed.post/3jy2dokd6er25,55,Safe,NA.,89.4,2026-05-06T10:24:01.095Z,Text,
adash,at://did:plc:hl7xxxudprvi4wsrtsd33chy/app.bsky.feed.post/3lroflbvlxe2x,56,Unsafe,Possible human corpse.,52.7,2026-05-06T10:24:56.567Z,Image,S7
adash,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3lmcfntazdc2t,57,Safe,NA.,56.7,2026-05-06T10:25:53.260Z,Text,
adash,at://did:plc:pbeyxlf4wa255r3hmf7psuoj/app.bsky.feed.post/3lnbpyggtws2i,58,Safe,"Translation : (I wrote a long two-post reply, but the app crashed twice, so now it's less of a post)

I cut, eventually got a cut tattoo, which I converted to a pride tattoo by adding the other colors a few years later!

I understand there might have been a cut but now they have made a tatoo. That does not seem like self harm or graphic media.",173.5,2026-05-06T10:28:46.835Z,Text|Image,
adash,at://did:plc:xxgsbr4d72nrwcxfofxyjnsh/app.bsky.feed.post/3lvircw2yvc2f,59,Safe,"Political opinion (directed toward a politician). But, it does not warrant rude comment.",161.9,2026-05-06T10:31:27.932Z,Text,
adash,at://did:plc:54hlsvz7wuzswjxl4m7r7adw/app.bsky.feed.post/3lyfuuugsj22g,60,Safe,"Seems like a comment. But,  in isolation it seems fine.",40.2,2026-05-06T10:32:08.301Z,Text,
adash,at://did:plc:oxo226vi7t2btjokm2buusoy/app.bsky.feed.post/3le4leouvck2b,61,Safe,Christmas wishes,115.2,2026-05-06T10:34:02.383Z,Text|Image,
adash,at://did:plc:lr36xv2l64jwtnyoaqem6z2z/app.bsky.feed.post/3m5jzksrfes2t,62,Safe,Protest post and video on excessive surveillance.,79,2026-05-06T10:35:21.434Z,Text|Video|Audio,
adash,at://did:plc:ry62afc72nm5t2vklajr4mkv/app.bsky.feed.post/3lwieinslcs2n,63,Safe,Al Jazeera  reporter showing a medical complex probably post war. There are some people lying but they seem to be sleeping after getting treatment and not dead.,183.9,2026-05-06T10:38:25.430Z,Text|Video|Audio,
adash,at://did:plc:lr36xv2l64jwtnyoaqem6z2z/app.bsky.feed.post/3mcdrgdmfh62b,64,Safe,Awareness post on digital privacy.,57.8,2026-05-06T10:39:23.421Z,Text|Image,
adash,at://did:plc:wfukwqu6ghc3ijroxc472cmb/app.bsky.feed.post/3lvdpmn6hlk2d,65,Safe,NA.,82.8,2026-05-06T10:40:46.001Z,Text,
adash,at://did:plc:jwyvn6m7daklc3xyx5pt7w2p/app.bsky.feed.post/3m3mb7xlb6k2f,66,Unsafe,"It is not reaching porn threshold. But, it is definitely nudity and sexually provocative.",62.9,2026-05-06T10:41:48.789Z,Video|Audio,"S2,S5"
adash,at://did:plc:lr36xv2l64jwtnyoaqem6z2z/app.bsky.feed.post/3lzgusx6d4z2h,67,Safe,Awareness about digital privacy.,26.5,2026-05-06T10:42:17.039Z,Text|Image,
adash,at://did:plc:iu5zdi6cbfvnhyjq5sdx3xuw/app.bsky.feed.post/3m2njlucees2u,68,Safe,"Criticism in strong language. But, does not warrant labeling.",68.3,2026-05-06T10:43:23.610Z,Text,
adash,at://did:plc:rtzhe5ldapoiwhslj4vx5xzb/app.bsky.feed.post/3lzcbf7brzx22,69,Unsafe,Sexual image but does not meet the threshold for porn.,67.1,2026-05-06T10:44:30.713Z,Image,S2
adash,at://did:plc:k3f2lo7bpznm6sels376oqmg/app.bsky.feed.post/3lshqf335kk26,70,Unsafe,"Seems like a rude comment toward somebody. But, context may reveal it may be a funny banter as well.",124.2,2026-05-06T10:46:34.946Z,Text,S8
adash,at://did:plc:4i7xwq5tgasaziqv3klq2cn7/app.bsky.feed.post/3lknbp2ulfj2m,71,Unsafe,Two dead bodies and some blood spatter on the white clothes.,60.8,2026-05-06T10:47:35.707Z,Image,S7
adash,at://did:plc:i6m5urtifwvjqv4bfytcwslt/app.bsky.feed.post/3lnqaoq5zjk2n,72,Safe,NA.,38.9,2026-05-06T10:48:14.638Z,Text,
