video_id,summary,category,color_composition,keywords,creator_demographic,political_leaning,misinformation_indicators,sentiment,tone,hateful_content,hateful_explanation,hateful_target,hateful_severity,graphic_content,threatening_content,illicit_content,self_harm
7343334803665603883,"The video discusses the impending ban of TikTok in the United States, featuring an individual who uses TikTok to teach science and space. They express concern over the potential loss of a space for education and creativity, urging viewers to call Congress to oppose the ban. The person shares information that TikTok has voluntarily taken measures to house U.S. user data with Oracle and that the Chinese government has never requested this data. The overall tone is serious and engaged, highlighting the importance of TikTok as a tool for education.","News, Politics","Colorful, Aesthetically Pleasing","TikTok, ban, Congress, education, science, space, Astro Alexandra, Oracle, data housing",,Center,None,Negative,"Intense, Serious",No,NA,NA,NA,No,No,No,No
7184540937974975786,"A young woman is conducting a review of the e.l.f brow lift product. She demonstrates how to use the brow lift and shares her positive experience with it. She mentions that she's seen the product on TikTok and was intrigued to try it. She details her purchase for $6 from Alto, her satisfaction with the results, and how it sculpted her brows effectively. She praises the product's ease of use and the natural-looking brow lift it provided, ultimately giving it a high rating. The video is very engaging and informative, encouraging viewers to try the product.",Beauty Care,Naturalistic,"e.l.f brow lift, review, TikTok, Alto, makeup, brows, grooming, beauty products",,Neutral,None,Positive,Enthusiastic,No,NA,NA,NA,No,No,No,No
7351403366368546081,"The video depicts a fictional scenario of humanity preparing for the Intergalactic Battle Royale, where ten highly trained soldiers are sent to fight against alien species. The humans execute a strategy to defeat the aliens, who initially underestimated them due to their previous weak participants and outdated technology. The humans' tactical skills and the use of new technology, such as stun grenades, ultimately lead to their victory, causing shock and confusion among the aliens.",Entertainment & Shows,Naturalistic,"Intergalactic Battle Royale, humans, aliens, soldiers, strategy, defense, stun grenades, victory, confusion",,Neutral,None,Positive,Serious,No,NA,NA,NA,No,No,No,No
7380379588242804001,"The video features a person resting in bed, expressing intense frustration about extreme political views. The person mentions the Minister of the Macron government, Guda, and NPA's calls for violence, but states their own position is to save human lives rather than political parties. The speaker is critical of the Macronistes and considers them normal people, but ultimately chooses to remain neutral between saving humans and saving a bench with a plastic vent. The speaker's tone is casual and reflective.","News, Politics",Naturalistic,"extreme-droite, gauge, macronistes, gud, npa, casser du pdr, abribus, human lives",,Center,None,Negative,Calm,No,NA,NA,NA,No,No,No,No
7394913119375527210,"The video includes a person speaking about the inappropriateness of excusing or praising war criminals based on follower count or killing statistics. The person criticizes the mindset of people who have 350,000 followers but are seen as less of a threat than those with 2.1 million followers, highlighting examples of war criminals such as Saddam Hussein and Vladimir Putin. They argue that even with more followers, if the same amount of videos are being disseminated, it still counts. The speaker discusses the actual death tolls associated with each individual and concludes that the number of lives lost should not determine the severity of their crimes. The video criticizes the lack of empathy for those affected by these leaders' actions.","News, Politics",Naturalistic,"follower count, war criminals, Saddam Hussein, Vladimir Putin, death tolls, political ideologies",,Center,None,Negative,Anger,No,NA,NA,NA,No,No,No,No
7343662075299761440,"The video transitions from a person casually wearing a pink sweater with a black bow, confident in their ability to handle any horror scene, to a shocking horror movie scene featuring a man in a blood-stained white shirt in what appears to be a hospital or similar setting.",Drama,Naturalistic,"huge horror fan, horror scene, blood, horror movie",,Neutral,None,Neutral,Surprise,No,NA,NA,NA,Yes,No,No,No
7327439802637307178,"The video showcases a 2024 Chevy W/T truck, focusing on its features and affordability. The presenter highlights the low cost, pointing out the basic amenities for $39,000 and the lack of advanced features like remote tailgate opening. He then takes the audience on a tour of the truck, emphasizing its power folding mirrors, a modest set of six-lug alloy wheels, and a crew cab option on Chevrolet's website for $39,000. The presenter contrasts this with the current sale price of $44,465, suggesting that work truck features have declined since the truck's release. The tone is informative and slightly critical of the current state of work trucks.",Autos & Vehicles,Aesthetically Pleasing,"Chevrolet, work truck, crew cab, basic amenities, power folding mirrors, six-lug alloy wheels, purchase price, Chevrolet website, vehicle price",,Neutral,None,Neutral,Informative,No,NA,NA,NA,No,No,No,No
7358352976639184146,"The video captures a sudden onset of heavy rainfall on a highway in Dubai, causing a dramatic drop in visibility. The scene is shown from inside a vehicle, with windshield wipers moving to clear the rain. The road is slick with water, and red tail lights of vehicles ahead are barely visible through the dense rain. The atmosphere is dark and misty, enhancing the sense of danger and urgency. The audio transcript discusses creating a new video about making a fire with a firewood stove, mentioning the clear water. The tone is serious, as the driver comments on the situation.",News,Dark,"Rainstorm, visibility, safety, urgency, Dubai",,,,Negative,Serious,No,NA,NA,NA,No,No,No,No
7296461109572275488,"The video shows a series of interviews with Trump supporters discussing their disagreements with the former president, particularly regarding his stance and actions concerning unions. The interviewees express a range of opinions and personal experiences related to union support and job creation policies. The video captures the sentiments and sentiments of the participants on political issues such as Trump's policies and his role in relation to unions. The participants wear red 'Make America Great Again' hats and shirts, reflecting their support for Trump and showing a diverse group of supporters providing their perspectives on the subject matter. They have strong emotions expressed through their words and body language, indicating passion and frustration over certain issues.","News, Politics",Colorful,"Trump supporters, unions, jobs, political opinions, political stance, criticism, disagreements, interviews",,Right,None,Negative,Anger,No,NA,NA,NA,No,No,No,No
7385384197864557855,"The video captures a political debate between two individuals on television, with a focus on the moments when neither is speaking. It features an individual in a blue suit with a red tie and another in a black suit with a blue tie. The setting is a formal debate, consistent with a typical presidential debate appearance. The text overlay highlights a viewer's enjoyment of the silent moments during the debate, suggesting a humorous or ironic tone in the presentation of the event.",Politics,Saturated,"political debate, news, TV, silent moments, viewer's perspective, CNN, America Decides, campaign 2024, presidential debate",,Neutral,None,Neutral,Neutral,No,NA,NA,NA,No,No,No,No
7354853011887312160,"The video features a discussion about pizza toppings, focusing on the controversial nature of pineapple as a pizza topping. One individual expresses disdain for pineapple on pizza, humorously referring to those who enjoy it as a'muppet.' The tone is light-hearted, with elements of humor. In contrast, another sequence shows someone enthusiastically eating a whole pineapple pizza. The overall sentiment is playful and engaging, poking fun at dietary preferences.",Entertainment & Shows,Aesthetically Pleasing,"pizza, pineapple, toppings, favorites, muppet, pineapple pizza",,Center,None,Positive,Humorous,No,NA,NA,NA,No,No,No,No
7337977691611696417,"A person is driving a car and talking animatedly, gesturing with their hands. The driver is wearing a white sweater and gray pants. They are making a point or explaining something with expressive body language. The car has red interior, and the background outside the car shows an urban setting with buildings, trees, and other vehicles passing by. The person appears frustrated or intense in their emotions, as suggested by the audio transcript where they repeatedly say ""just shut up"" and express trying to take things slow and being in control.",People & Blogs,Colorful,"drive, car, city, urban, talking, explaining, expressive, gesture, body language, white sweater, gray pants, red interior",,Center,None,Negative,Intense,No,NA,NA,NA,No,No,No,No
7356565580603870497,"The video discusses a caller named Louise who claims to be unwell and seeking psychotherapy, but cannot access it. Rishi Sunak, a politician, discusses the issue with emphasis on Labour Party control over the NHS in Wales, highlighting contrasting outcomes in England. The conversation delves into the complexities and failures of the Labour-run NHS in Wales and contrasts it with those in England, leading to a 'gotcha' moment involving political blame. The overall tone is serious and critical, focusing on political disparity and healthcare access. Identified speakers include a man in a navy blue blazer, a man in a white shirt and headphones, and a woman in a light pink blazer with a dog illustration on her device. The context suggests political commentary and debate about healthcare policies.","News, Politics",High Contrast,"caller, Louise, Rishi Sunak, psychotherapy, politician, NHS, Labour Party, Wales, England, gotcha, trauma, mental health, government, healthcare policies",,Center,None,Negative,Critical,No,NA,NA,NA,No,No,No,No
7335864619187146016,"The video provides a detailed comparison of the population distribution, geography, economies, and historical settlements between Wyoming and Colorado. It highlights that Wyoming has a much smaller population due to harsher climate, rugged terrain, and less historical settlement due to the gold rushes in Colorado. The video mentions that Wyoming's only four-year university and robust economies in other cities contribute to the state's appeal, contrasting with the more populous and economically robust Colorado.","News, Politics",Colorful,"Wyoming, Colorado, population, economy, geology, settlement, universities, gold rush, mountains",,Neutral,None,Neutral,Neutral,No,NA,NA,NA,No,No,No,No
7407322364309949728,"A performance featuring a group of dancers, with a central dancer in an orange jacket performing energetic moves to upbeat music. The stage has vibrant blue and pink lighting, and other dancers in the background perform synchronized choreography. The dancer in the orange jacket occasionally interacts with others and leads the performance with enthusiasm and vigor. The audience is visible, recording the event on their devices.","Music, Singing, & Dancing",Colorful,"performance, dance, lively, audience, recording",,Neutral,None,Positive,Cheerful,No,NA,NA,NA,No,No,No,No
7363655590524226862,"The video exposes a shady website, Spy.pet, that has been scraping Discord user data from over 15,000 servers, offering the histories of around 114 million users for sale. It details Discord's change in terms of service, preventing class-action lawsuits, and their response to the Spy.pet issue. The video also discusses the platform's decision to take legal action against Spy.pet, while not claiming it was solely responsible for the site's takedown. In addition, the video notes Spy.pet's Telegram post revealing upcoming fixes, a backup site link, and a reference to the music video 'Tub Thumping'. The host's casual and sarcastic tone questions the privacy and safety of public Discord servers.","News, Politics, People & Blogs",Bright,"Shady, Spy.pet, Discord, Privacy, Surveillance, Data Scraping, Class Action Lawsuits, Discord Terms of Service, Servers, Public Servers",,Center,None,Negative,Sarcastic,No,NA,NA,NA,No,No,Yes,No
7355938811429260550,"A woman wearing headphones is reacting to song descriptions written by AI. She is visibly amused and impressed as the AI generates lyrics and song titles with the theme of eating chips and having an upset stomach, yet it insists on not having any regrets. The AI even creates heavy metal song styles for the described experience. The atmosphere is light-hearted and entertaining, with the woman laughing and sharing her thoughts on the AI's output.",Entertainment & Shows,Colorful,"AI, music, chips, upset stomach, lyrics, headphone, song title, heavy metal, regrets, humor",,Neutral,None,Positive,Cheerful,No,NA,NA,NA,No,No,No,No
7357035995667107114,"A customer in a fast food restaurant orders a drink, the server accidentally serves her to Maria Guadalupe Hernandez. The customer tells the server that it's not her order and then correctly orders Strawberries and Cream.",Food,Colorful,"['fast food restaurant', 'customer order', 'Maria Guadalupe Hernandez', 'Strawberries and Cream']",,Neutral,None,Neutral,Neutral,No,NA,NA,NA,No,No,No,No
7322958700291853614,"The video features a political event or TV show, likely a debate or discussion with Donald Trump, focusing on political questions and reactions. Trump addresses various topics, including COVID-19 origin, auto workers' concerns, Ron DeSantis's actions, and sanctuary cities, with a sarcastic and somewhat contentious tone. The audience shows attentiveness and reaction to Trump's statements.","News, Politics",Saturated,"Trump, pandemic, auto workers, electric cars, Ron DeSantis, sanctuary cities, town hall",,Right,None,Negative,Anger,No,NA,NA,NA,No,No,No,No
7333721172363922734,"A man wearing a blue jacket, blue shirt, and beige pants is in a car dealership lot, performing a rhythmic dance in front of a black SUV. The text overlay reads 'Toyota could never' with a sunglasses emoji, implying a confident and positive attitude towards the vehicle or the company. He energetically moves his arms and legs while occasionally adjusting his jacket and gesturing with his hands. The weather is partly cloudy, and there are palm trees and other cars in the background.",Advertising & Branding,High Contrast,"Toyota, SUV, performance, dance, confidence",,NA,None,Positive,Joy,No,NA,NA,NA,No,No,No,No
7395058028594122014,"The video features a person in various settings, including a formal speech at the John F. Kennedy Presidential Library and Museum, speaking in a car, and engaging in casual activities in different locations. The person discusses political issues, particularly mentioning 'the issues in this election' are too important to be distracted by other things. The tone appears to be serious and opinionated, as the person emphasizes standing by what they said in a previous video. Visually, there are scenes of the person in different outfits, from formal attire to casual wear, indicating a contrast between settings. There's a mix of indoor and outdoor backdrops, from formal events to casual beach and shopping scenes. The video ends with a person walking toward a building with the label, expressing thanks to the audience for joining.",People & Blogs,Colorful,"election, issues, John F. Kennedy Presidential Library, video, formal events, casual activities, beach, shopping, audience",,Left,None,Neutral,Intense,No,NA,NA,NA,No,No,No,No
7340766599860849926,,,,,,,,,,,,,,,,,
7320342127790148907,"The video involves an individual, referred to as the 'Silverthorne Cop', discussing what appears to be an audit or investigation into the First Amendment and police conduct. The individual seems distressed and claims to be facing misconduct. Text overlays mention the 'Silvrthorne Cop' making a mistake, First Amendment audit, and Amagansett Press. The setting includes blue lockers in a room, suggesting a police station or similar facility. The individual is wearing a police uniform. The video contains a tense discussion about legal rights and adherence to law.","News, Politics",Naturalistic,"['Silverthorne', 'First Amendment', 'Amagansett Press', 'Mistake', 'Audit', 'Police']",,Center,None,Negative,Intense,No,NA,NA,NA,No,No,No,No
7287998089279917345,The video provides tips on how to find discounted products on Amazon's Outlet section. The speaker explains that new sellers are incentivized to list items at least 25% off to meet Amazon's requirements for the Outlet section. The video highlights navigating to the Amazon Outlet page and browsing through various categories to find deals. The overall tone is informative and helpful.,Society,Naturalistic,"Amazon, discounted items, Outlet, sellers, products, savings, deals",,Neutral,None,Positive,Enthusiastic,No,NA,NA,NA,No,No,No,No
7203774185322188037,"The video begins with an individual entering a modern office space. After greeting a colleague, the individual proceeds towards a desk. The text 'Ich im 1. Lehrjahr' (I am in the 1st year) is displayed, indicating the novice status of the main subject. The individual is seen sitting at a desk, looking at computer and documents, possibly preparing for job training or learning new information. The overall tone is casual and instructional.",Education,Aesthetically Pleasing,"Im 1. Lehrjahr, Abschlussprüfung",,Neutral,None,Neutral,Casual,No,NA,NA,NA,No,No,No,No
7324373228028300577,"The video provides a humorous and insightful look into the challenges and absurdities of working in finance. It covers various aspects such as the fast pace of work, the use of models in financial models, the stress of work, the struggle to balance a social life, the intense work culture, and the importance of maintaining a work-life balance. The speaker shares their personal experiences, including their skincare routine, dating life, and the pressure to excel. They also highlight the need to stay informed about money-making opportunities and the constant pressure to work even during a 12-hour office day.",People & Blogs,Colorful,"['finance', 'workday', 'skincare', 'financial models', 'green lights', 'money-making']",Unknown,Neutral,None,Neutral,Humorous,No,NA,NA,NA,No,No,No,No
7341253553245408558,"Maymay discusses her decision to buy a large house for her entire family, explaining that she and her partner Jacob are the ones financially responsible for the home, utilities, and maintenance. She emphasizes her commitment to providing a stable, welcoming home for her family, including future children, regardless of social expectations or economic pressures. Maymay highlights her cultural background and family's sacrifices, describing her house as an investment in her family's well-being. The video conveys a sense of pride, dedication, and familial love.",People & Blogs,Naturalistic,"family, house, responsibility, siblings, sacrifice, parents, rent, love, home, culture, aspirations, future children, social expectations, economic pressures, cultural background, dedication, love",,Center,None,Positive,Enthusiastic,No,NA,NA,NA,No,No,No,No
7346960504490937642,"A woman and her partner celebrate their engagement photoshoot in various romantic poses and settings, including a classic car drives and a boat ride. The audio reflects a song's lyrics about admiration and connection.",Travel & Events,Aesthetically Pleasing,"Engagement Photoshoot, Car Ride, Boat, White Dress, Crop Top, Outdoor Setting, Partner, Ring",,Neutral,None,Positive,Enthusiastic,No,NA,NA,NA,No,No,No,No
7366286242406829345,"A person is operating a DJ mixer in an office environment, responding humorously to a comment suggesting the use of Mario from the Super Mario series in a snowy context for a specific need. The video captures the DJ's reactions and playful engagement with the comment, reflecting a light-hearted and entertaining tone. The background shows other people in the office, some seated and working, contributing to the office setting and communal context of the video, possibly indicating a fun or informal work environment.",Entertainment & Shows,Aesthetically Pleasing,"DJ, mixer, comment, Mario, snow, office",,Neutral,None,Neutral,Cheerful,No,NA,NA,NA,No,No,No,No
7352304151897951521,"The video features a person walking through a well-lit, cozy living room at night. They wear a black shirt and red pants. Text overlay in German humorously suggests the person's reluctance to leave the room, as they continue to explore it. The person sits down on a dark leather sofa, looking thoughtful, then transitions to lying on the floor in a playful manner. Various angles capture the scene, including close-ups and pan shots of shoes on the stairs, showing a relaxed domestic setting with no political or harmful content.",Entertainment & Shows,Colorful,"night, living room, walking, sitting, thinking, shoes, stairs",,Neutral,None,Neutral,Cheerful,No,NA,NA,NA,No,No,No,No
7325205573941710111,"The video begins with a person in a room, responding to a comment about ghost hunting. They attempt to set up a recording session while in dim lighting, likely to capture ghostly activities. However, the recording session is cut short, as indicated by the text overlays. The person expresses humor and curiosity about continuing the recording during nighttime. Overall, the tone is playful and inquisitive, with an underlying element of spookiness due to the ghost hunting context.",Entertainment & Shows,Dark,"ghost hunting, recording, TikTok, night",Unknown,Unknown,None,Neutral,Humorous,No,NA,NA,NA,No,No,No,No
7379002112652660014,"The video features a person expressing gratitude to Sarah J. Maas by displaying an 'ATARAXIA' (a concept introduced by Maas) necklace. The necklace is golden and appears to be a nameplate-style piece of fashion jewelry. The person's attire and setting suggest a casual, home environment. The background includes text thanking Sarah J. Maas for introducing the concept of 'ataraaxia' to the person. The video is accompanied by audio stating, 'Just between us, I remember this all too well,' indicating a personal and reflective mood.",Entertainment & Shows,Colorful,"Sarah J. Maas, Ataraaxia, Fashion Jewelry, Gratitude",,Neutral,None,Positive,Cheerful,No,NA,NA,NA,No,No,No,No
7404376866108312865,"The video covers the evacuation of people from the Kursk region due to Ukraine's advances into Russian territory. It shows scenes of passengers being transported on a bus, interviews with people discussing their fears and experiences, and footage of military vehicles. Speakers convey stories of distress and concerns about safety, mentioning Ukrainian attacks and the need for civilians to flee the area.","News, Politics",Naturalistic,"Kursk, Ukraine, Evacuation, Refugees, Military, Fears, Interviews",,Center,None,Negative,Intense,No,NA,NA,NA,No,Yes,No,No
